case,reads_used,edge_limit,candidate_edges,qubo_variables,quadratic_terms,degree_penalty,isolate_penalty,path_break_penalty,path_count_cap_penalty,reward_gamma,reward_scale,seed,energy,true_energy,energy_gap,ground_hit,valid_path_cover,single_path_layout,path_count,selected_edge_count,source_constraint_violations,sink_constraint_violations,in_degree_violations,out_degree_violations,isolated_node_count,uncovered_node_count,selected_adjacent_correct,selected_jump_correct,selected_wrong,anneal_sec,total_sec
1,35,all,131,201,1280,120.0,160.0,10.0,80.0,2.0,30.0,40,-808.0000000000073,-1020.0,211.99999999999272,False,True,False,2,33,0,0,0,0,0,0,27,6,0,18.460832192999078,18.461501293000765
2,35,all,131,201,1280,120.0,160.0,10.0,80.0,2.0,30.0,41,-767.200000000008,-1020.0,252.799999999992,False,True,False,2,33,0,0,0,0,0,0,24,9,0,16.51776690200495,16.51852960200631
3,35,all,131,201,1280,120.0,160.0,10.0,80.0,2.0,30.0,42,-1020.0000000000073,-1020.0,-7.275957614183426e-12,True,True,True,1,34,0,0,0,0,0,0,34,0,0,16.163767157995608,16.164571058005095
4,35,all,131,201,1280,120.0,160.0,10.0,80.0,2.0,30.0,43,-678.4000000000069,-1020.0,341.5999999999931,False,True,False,2,33,0,0,0,0,0,0,19,14,0,16.21972830800223,16.220533408006304
5,35,all,131,201,1280,120.0,160.0,10.0,80.0,2.0,30.0,44,-736.0000000000073,-1020.0,283.9999999999927,False,False,False,2,33,0,1,0,1,0,3,28,5,0,16.20749302400509,16.208332123991568
6,35,all,131,201,1280,120.0,160.0,10.0,120.0,2.0,30.0,40,-744.0000000000073,-1020.0,275.9999999999927,False,False,False,1,34,0,1,0,1,0,6,24,10,0,16.335771950005437,16.33687154999643
7,35,all,131,201,1280,120.0,160.0,10.0,120.0,2.0,30.0,41,-739.2000000000062,-1020.0,280.7999999999938,False,False,False,1,34,0,1,0,1,0,8,22,12,0,16.283832073997473,16.285841074000928
8,35,all,131,201,1280,120.0,160.0,10.0,120.0,2.0,30.0,42,-747.6000000000058,-1020.0,272.3999999999942,False,False,False,1,34,0,1,0,1,0,14,25,9,0,16.933608566992916,16.934467366998433
9,35,all,131,201,1280,120.0,160.0,10.0,120.0,2.0,30.0,43,-798.0000000000073,-1020.0,221.99999999999272,False,False,False,1,34,0,1,0,1,0,4,28,6,0,16.163743591998355,16.1645801919949
10,35,all,131,201,1280,120.0,160.0,10.0,120.0,2.0,30.0,44,-818.4000000000087,-1020.0,201.59999999999127,False,False,False,1,34,0,1,0,1,0,5,28,6,0,16.41782562699518,16.418593827009317
